"Si. No (Col. 1)","Category ","State/UT (Col. 2)","Persons Arrested - Male - (Col. 3)","Persons Arrested - Female - (Col. 4)","Persons Arrested - Total - (Col. 5)","Persons Chargesheeted - Male - (Col. 6)","Persons Chargesheeted - Female - (Col. 7)","Persons Chargesheeted - Total - (Col. 8)","Persons Convicted - Male - (Col. 9)","Persons Convicted - Female - (Col. 10)","Persons Convicted - Total - (Col. 11)","Persons Discharged - Male - (Col. 12)","Persons Discharged - Female - (Col. 13)","Persons Discharged - Total - (Col. 14)","Persons Acquitted - Male - (Col. 15)","Persons Acquitted - Female - (Col. 16)","Persons Acquitted - Total - (Col. 17)"
1,State,"Andhra Pradesh",466,9,475,437,9,446,9,0,9,10,0,10,121,2,123
2,State,"Arunachal Pradesh",11,1,12,1,0,1,0,0,0,0,0,0,0,0,0
3,State,Assam,1706,11,1717,395,0,395,0,0,0,0,0,0,80,0,80
4,State,Bihar,751,0,751,727,0,727,0,0,0,0,0,0,0,0,0
5,State,Chhattisgarh,201,8,209,181,7,188,3,0,3,0,0,0,7,0,7
6,State,Goa,14,1,15,13,2,15,0,0,0,0,0,0,1,0,1
7,State,Gujarat,902,40,942,868,38,906,0,0,0,0,0,0,4,0,4
8,State,Haryana,339,8,347,316,7,323,0,0,0,0,0,0,19,2,21
9,State,"Himachal Pradesh",45,1,46,39,0,39,0,0,0,0,0,0,1,0,1
10,State,Jharkhand,818,2,820,789,2,791,131,0,131,7,0,7,45,0,45
11,State,Karnataka,464,25,489,2853,63,2916,2,0,2,0,0,0,25,0,25
12,State,Kerala,290,9,299,171,8,179,0,0,0,0,0,0,7,0,7
13,State,"Madhya Pradesh",669,23,692,486,112,598,15,0,15,7,0,7,26,2,28
14,State,Maharashtra,1671,64,1735,1199,39,1238,3,0,3,1,0,1,48,0,48
15,State,Manipur,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0
16,State,Meghalaya,7,2,9,5,2,7,0,0,0,0,0,0,0,0,0
17,State,Mizoram,4,0,4,8,0,8,2,0,2,0,0,0,0,0,0
18,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Odisha,359,10,369,386,10,396,0,0,0,0,0,0,1,0,1
20,State,Punjab,283,15,298,153,9,162,1,0,1,0,0,0,8,0,8
21,State,Rajasthan,536,5,541,515,5,520,32,0,32,11,0,11,26,1,27
22,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
23,State,"Tamil Nadu",495,21,516,229,8,237,9,0,9,8,0,8,28,0,28
24,State,Telangana,1157,12,1169,1141,17,1158,282,0,282,0,0,0,75,6,81
25,State,Tripura,6,0,6,5,0,5,0,0,0,0,0,0,0,0,0
26,State,"Uttar Pradesh",6414,77,6491,6348,79,6427,878,0,878,47,0,47,55,0,55
27,State,Uttarakhand,91,2,93,78,2,80,0,0,0,1,0,1,0,0,0
28,State,"West Bengal",199,4,203,268,45,313,0,0,0,0,0,0,6,0,6
"Total State(s)","Total State(s)","Total State(s)",17915,350,18265,17611,464,18075,1367,0,1367,92,0,92,584,13,597
29,"Union Territories","A & N Islands",3,0,3,5,0,5,0,0,0,0,0,0,0,0,0
30,"Union Territories",Chandigarh,4,0,4,3,0,3,2,0,2,0,0,0,2,0,2
31,"Union Territories","D & N Haveli and Daman & Diu",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
32,"Union Territories",Delhi,103,4,107,73,4,77,0,0,0,0,0,0,0,0,0
33,"Union Territories","Jammu & Kashmir",33,0,33,23,0,23,0,0,0,0,0,0,1,0,1
34,"Union Territories",Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"Union Territories",Lakshadweep,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
36,"Union Territories",Puducherry,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0
"Total UT(s)","Total UT(s)","Total UT(s)",151,4,155,110,4,114,2,0,2,0,0,0,3,0,3
"Total All India","Total All India","Total All India",18066,354,18420,17721,468,18189,1369,0,1369,92,0,92,587,13,600
